GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC35,Total; Estimate; SUMMARY INDICATORS - Median age (years)
HC01_EST_VC36,Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females)
HC01_EST_VC37,Total; Estimate; SUMMARY INDICATORS - Age dependency ratio
HC01_EST_VC38,Total; Estimate; SUMMARY INDICATORS - Old-age dependency ratio
HC01_EST_VC39,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio
